Sun,0,0,66,yellow
Jupiter,10.97,5,6.628,coral
Saturn,9.14,6,5.524,gold
Uranus,3.98,7,2.405,aquamarine
Neptune,3.86,8,2.335,darkcyan
Earth,1,3,0.6041,dodgerblue
Venus,0.950,2,0.5737,darkorange
Mars,0.532,4,0.3214,firebrick
Mercury,0.383,1,0.2313,lightgray
